timestamp,response_time,ssl_days_remaining,security_score,uptime
1740815350,0.319557,May 15 06:31:58 2025 GMT,60,1
1740815654,0.158722,May 15 06:31:58 2025 GMT,60,1
1740815958,0.563407,May 15 06:31:58 2025 GMT,60,1
1740816263,0.464632,May 15 06:31:58 2025 GMT,60,1
1740816571,0.409591,May 15 06:31:58 2025 GMT,60,1
1740816875,0.559758,May 15 06:31:58 2025 GMT,60,1
1740817179,0.532058,May 15 06:31:58 2025 GMT,60,1
1740817484,0.458715,May 15 06:31:58 2025 GMT,60,1
1740817788,0.287184,May 15 06:31:58 2025 GMT,60,1
1740818093,0.629088,May 15 06:31:58 2025 GMT,60,1
1740818398,0.671249,May 15 06:31:58 2025 GMT,60,1
1740818702,0.196929,May 15 06:31:58 2025 GMT,60,1
1740819006,0.154258,May 15 06:31:58 2025 GMT,60,1
1740819310,0.158242,May 15 06:31:58 2025 GMT,60,1
1740819614,0.164436,May 15 06:31:58 2025 GMT,60,1
1740819920,0.419380,May 15 06:31:58 2025 GMT,60,1
